alert_id,timestamp,source_ip,destination_ip,source_port,destination_port,protocol,traffic_type,host_affected,event_category,attack_type,attack_signature,severity,mitre_tactic,kill_chain_stage,log_source,ids_ips_alert,firewall_action,malware_indicator,anomaly_score,failed_login_attempts,request_rate_per_min,asset_criticality,class_label,risk_score,priority_level
ALT-R-00015,2026-03-06T18:10:00Z,77.111.54.241,10.26.146.175,4856,443,TCP,HTTP,srv-logs-01,web_attack,Cross Site Scripting,behavioral pattern,High,Execution,Exploitation,EDR,Confirmed malicious indicator,Quarantined,Yes,0.56,1,155,Medium,malicioso,62,alta
ALT-R-00016,2025-11-22T11:01:00Z,212.27.141.223,10.144.99.111,2648,80,TCP,HTTPS,srv-vpn-01,web_attack,Cross Site Scripting,Cross Site Scripting signature,Medium,Execution,Exploitation,Firewall,Behavior anomaly,Blocked,No,0.54,0,65,Critical,a_investigar,74,alta
ALT-R-00017,2025-11-25T08:16:00Z,77.209.186.199,192.168.232.119,41757,995,TCP,SSH,srv-web-01,normal_web_access,No attack,behavioral pattern,Medium,No tactic,Execution,IPS,Routine traffic,Allowed,No,0.38,1,11,High,benigno,60,critica
ALT-R-00018,2025-12-05T13:53:00Z,192.168.48.86,10.143.208.222,33117,8080,TCP,TCP,pc-ventas-03,malware_traffic,Malware,generic signature,Medium,Command and Control,Command and Control,Firewall,No alert,Allowed,No,0.25,2,29,Medium,benigno,43,media
ALT-R-00019,2025-12-07T15:00:00Z,172.16.26.53,192.168.170.68,26734,443,TCP,HTTPS,srv-web-01,web_attack,Cross Site Scripting,generic signature,High,Execution,Exploitation,EDR,Behavior anomaly,Blocked,Suspicious,0.80,0,86,High,a_investigar,61,media
ALT-R-00020,2025-11-23T07:01:00Z,138.16.62.249,192.168.77.15,51161,8080,TCP,HTTP,srv-backup-01,bot_activity,Botnet,behavioral pattern,High,Command and Control,Command and Control,Firewall,Confirmed malicious indicator,Blocked,Suspicious,0.66,1,142,High,malicioso,93,alta
ALT-R-00021,2026-02-05T09:43:00Z,85.23.237.148,10.146.108.6,41620,8080,TCP,HTTPS,pc-gerencia-01,web_attack,SQL Injection,generic signature,Critical,Execution,Exploitation,EDR,Confirmed malicious indicator,Blocked,Suspicious,0.79,6,172,High,malicioso,98,critica
ALT-R-00022,2026-01-22T13:32:00Z,85.194.9.23,10.73.170.57,15163,53,UDP,DNS,srv-archivos-02,dns_tunneling_suspected,DNS Tunneling,DNS Tunneling signature,High,Command and Control,Command and Control,EDR,Routine traffic,Allowed,No,0.33,0,24,Medium,benigno,50,alta
ALT-R-00023,2025-12-17T22:23:00Z,52.57.57.231,172.21.118.57,63994,4444,TCP,HTTPS,srv-finanzas-01,bot_activity,Botnet,generic signature,High,Command and Control,Command and Control,SIEM,Behavior anomaly,Blocked,No,0.65,1,82,Critical,a_investigar,78,alta
ALT-R-00024,2026-02-20T16:10:00Z,185.206.248.152,172.31.201.54,7512,443,TCP,HTTPS,srv-app-02,web_attack,SQL Injection,behavioral pattern,Medium,Execution,Exploitation,IDS,No alert,Allowed,Suspicious,0.88,2,100,High,malicioso,88,alta
ALT-R-00025,2026-01-27T23:53:00Z,201.206.4.62,10.51.89.199,30784,443,TCP,HTTP,pc-gerencia-01,bot_activity,Botnet,behavioral pattern,High,Command and Control,Command and Control,SIEM,Behavior anomaly,Allowed,Yes,0.63,2,131,High,malicioso,78,critica
ALT-R-00026,2025-11-14T00:57:00Z,103.79.161.250,10.167.46.228,1540,8080,TCP,TCP,pc-soporte-05,malware_traffic,Malware,Malware signature,Critical,Command and Control,Command and Control,Firewall,Confirmed malicious indicator,Allowed,Yes,0.72,2,139,Low,malicioso,67,alta
ALT-R-00027,2026-02-16T11:38:00Z,201.172.182.205,10.35.226.43,32052,389,TCP,HTTP,pc-ventas-03,web_attack,Cross Site Scripting,generic signature,Medium,Execution,Exploitation,WAF,Behavior anomaly,Blocked,No,0.59,4,81,Medium,a_investigar,60,media
ALT-R-00028,2025-12-29T08:19:00Z,172.26.254.39,172.23.17.90,10524,443,TCP,DNS,pc-ventas-03,normal_web_access,No attack,No attack signature,Medium,No tactic,Execution,EDR,No alert,Allowed,No,0.09,0,3,Medium,benigno,2,baja
ALT-R-00029,2025-12-18T16:39:00Z,101.242.135.107,172.16.165.116,29828,3389,TCP,HTTP,srv-web-01,dns_query,No attack,behavioral pattern,Medium,No tactic,Execution,Firewall,Behavior anomaly,Allowed,No,0.12,0,38,High,benigno,37,media
ALT-R-00030,2026-01-21T11:36:00Z,91.1.217.220,172.28.59.153,8277,443,TCP,HTTP,srv-logs-01,ddos_activity,DDoS,DDoS signature,Critical,Impact,Impact,Firewall,Behavior anomaly,Blocked,Yes,0.90,4,256,Medium,malicioso,86,alta
ALT-R-00031,2026-02-10T17:56:00Z,138.24.231.99,172.20.130.53,56999,53,UDP,DNS,srv-finanzas-01,dns_tunneling_suspected,DNS Tunneling,DNS Tunneling signature,High,Command and Control,Command and Control,SIEM,Suspicious pattern,Monitored,No,0.55,0,59,Critical,a_investigar,64,alta
ALT-R-00032,2025-12-21T07:41:00Z,172.17.161.252,192.168.85.75,6152,4444,TCP,SMB,srv-backup-01,admin_login,No attack,No attack signature,Medium,No tactic,Execution,WAF,Behavior anomaly,Allowed,No,0.15,0,8,High,benigno,41,alta
ALT-R-00033,2025-11-07T05:54:00Z,176.115.127.86,10.152.117.39,21779,80,TCP,SSH,pc-soporte-05,anomalous_web_request,Unknown,behavioral pattern,High,No tactic,Delivery,Firewall,Confirmed malicious indicator,Blocked,No,0.57,14,161,Low,malicioso,55,alta
ALT-R-00034,2025-12-18T08:39:00Z,176.196.51.57,10.24.248.24,43250,4444,TCP,SSH,pc-ventas-03,admin_login,No attack,behavioral pattern,Medium,No tactic,Execution,IPS,No alert,Allowed,No,0.02,5,2,Medium,benigno,29,media
ALT-R-00035,2025-11-16T21:45:00Z,138.76.214.248,192.168.215.100,60675,110,TCP,SMB,srv-db-01,data_exfiltration,Data Exfiltration,generic signature,High,Exfiltration,Exfiltration,IPS,Confirmed malicious indicator,Allowed,Yes,0.87,1,113,Critical,malicioso,99,alta
ALT-R-00036,2025-12-23T10:23:00Z,10.66.55.67,10.146.244.180,46618,53,TCP,HTTPS,srv-erp-01,dns_query,No attack,behavioral pattern,Medium,No tactic,Execution,EDR,No alert,Allowed,No,0.06,0,16,Critical,benigno,31,media
ALT-R-00037,2025-11-27T23:28:00Z,149.32.185.212,10.64.138.188,2825,445,TCP,HTTPS,srv-vpn-01,credential_attack,Phishing,behavioral pattern,High,Initial Access,Delivery,SIEM,Behavior anomaly,Blocked,No,0.66,6,62,Critical,a_investigar,88,media
ALT-R-00038,2026-02-28T03:23:00Z,61.66.89.159,172.19.119.212,8111,3389,TCP,SMB,srv-rh-01,port_scan,Port Scan,Port Scan signature,Medium,Reconnaissance,Reconnaissance,EDR,Behavior anomaly,Blocked,No,0.70,1,105,High,a_investigar,79,critica
ALT-R-00039,2026-01-13T00:22:00Z,23.197.46.119,10.122.152.13,39614,80,TCP,HTTPS,srv-rh-01,web_attack,SQL Injection,SQL Injection signature,High,Execution,Exploitation,IPS,Behavior anomaly,Quarantined,Yes,0.76,5,148,High,malicioso,78,critica
ALT-R-00040,2025-11-03T07:58:00Z,172.26.191.140,172.29.139.251,43476,443,TCP,RDP,srv-vpn-01,anomalous_web_request,Unknown,behavioral pattern,High,No tactic,Delivery,SIEM,Suspicious pattern,Blocked,No,0.58,5,47,Critical,a_investigar,64,alta
ALT-R-00041,2026-01-01T08:09:00Z,85.49.200.254,172.22.0.61,3741,22,TCP,SSH,srv-erp-01,normal_web_access,No attack,No attack signature,High,No tactic,Execution,EDR,Behavior anomaly,Blocked,No,0.44,3,3,Critical,benigno,50,alta
ALT-R-00042,2026-02-21T00:26:00Z,138.236.117.182,10.245.177.135,51164,110,TCP,HTTP,srv-archivos-02,web_attack,Cross Site Scripting,behavioral pattern,High,Execution,Exploitation,WAF,No alert,Monitored,No,0.45,6,90,Medium,a_investigar,50,baja
ALT-R-00043,2025-11-21T02:25:00Z,172.18.102.91,172.28.245.161,6615,445,TCP,HTTP,srv-erp-01,port_scan,Port Scan,Port Scan signature,Critical,Reconnaissance,Reconnaissance,EDR,Behavior anomaly,Monitored,No,0.73,0,112,Critical,a_investigar,76,critica
ALT-R-00044,2026-01-08T13:58:00Z,212.102.43.241,192.168.82.213,4668,53,TCP,DNS,srv-db-01,dns_tunneling_suspected,DNS Tunneling,generic signature,High,Command and Control,Command and Control,IDS,Suspicious pattern,Monitored,No,0.57,3,60,Critical,a_investigar,65,critica
ALT-R-00045,2026-01-17T01:07:00Z,77.58.97.127,172.17.53.5,53810,3389,TCP,RDP,srv-vpn-01,intrusion_attempt,Brute Force,generic signature,Critical,Credential Access,Credential Access,WAF,Suspicious pattern,Monitored,Yes,0.57,16,82,Critical,a_investigar,96,critica
ALT-R-00046,2026-03-09T19:24:00Z,201.203.78.11,192.168.12.88,50666,443,TCP,HTTP,srv-archivos-02,credential_attack,Credential Stuffing,behavioral pattern,High,Credential Access,Credential Access,IDS,Behavior anomaly,Blocked,Yes,0.51,1,150,Medium,malicioso,51,alta
ALT-R-00047,2026-01-04T07:03:00Z,172.22.49.25,172.18.243.77,49448,443,TCP,DNS,srv-archivos-02,data_exfiltration,Data Exfiltration,behavioral pattern,High,Exfiltration,Exfiltration,WAF,Confirmed malicious indicator,Monitored,Suspicious,0.82,0,147,Medium,malicioso,69,critica
ALT-R-00048,2025-11-20T07:13:00Z,10.59.105.72,10.245.71.95,12108,53,UDP,DNS,pc-gerencia-01,dns_tunneling_suspected,DNS Tunneling,behavioral pattern,High,Command and Control,Command and Control,SIEM,Behavior anomaly,Blocked,Suspicious,0.78,5,83,High,a_investigar,56,media
ALT-R-00049,2025-11-09T10:45:00Z,85.76.48.8,172.21.130.36,21931,443,TCP,SMTP,srv-web-01,mail_transfer,Phishing,behavioral pattern,Critical,Initial Access,Delivery,EDR,Suspicious pattern,Monitored,No,0.48,3,53,High,a_investigar,52,alta
ALT-R-00050,2025-11-22T21:19:00Z,45.34.184.97,192.168.250.139,2275,443,TCP,HTTPS,pc-soporte-05,mail_transfer,Phishing,Phishing signature,High,Initial Access,Delivery,SIEM,Routine traffic,Allowed,Suspicious,0.02,3,17,Low,benigno,25,media
ALT-R-00051,2026-02-25T12:11:00Z,172.20.106.190,10.17.165.91,16911,25,TCP,HTTPS,srv-db-01,credential_attack,Phishing,Phishing signature,Medium,Initial Access,Delivery,EDR,Suspicious pattern,Quarantined,No,0.60,6,90,Critical,malicioso,74,alta
ALT-R-00052,2026-01-28T15:51:00Z,138.52.179.174,172.26.56.140,31600,3389,TCP,RDP,pc-soporte-05,unusual_remote_access,Unknown,Unknown signature,Medium,No tactic,Delivery,Firewall,No alert,Allowed,No,0.37,0,37,Low,benigno,40,baja
ALT-R-00053,2025-11-11T09:26:00Z,103.29.220.143,10.31.235.159,7441,135,TCP,SMB,srv-backup-01,lateral_movement,Lateral Movement,Lateral Movement signature,High,Lateral Movement,Installation,WAF,Behavior anomaly,Blocked,Yes,0.98,5,117,High,malicioso,83,critica
ALT-R-00054,2026-01-06T12:05:00Z,10.49.57.10,172.27.65.210,26279,443,TCP,HTTP,srv-rh-01,web_attack,SQL Injection,behavioral pattern,Medium,Execution,Exploitation,SIEM,No alert,Monitored,No,0.48,3,41,High,benigno,45,media
ALT-R-00055,2025-11-22T16:01:00Z,172.30.245.62,192.168.95.121,60002,22,TCP,SMB,srv-backup-01,dns_query,No attack,No attack signature,Low,No tactic,Execution,Firewall,Behavior anomaly,Allowed,No,0.23,4,3,High,benigno,49,baja
ALT-R-00056,2026-01-30T04:23:00Z,167.79.65.146,192.168.114.213,22505,443,TCP,SMTP,srv-db-01,credential_attack,Phishing,generic signature,Medium,Initial Access,Delivery,SIEM,Behavior anomaly,Allowed,No,0.35,0,49,Critical,a_investigar,48,media
ALT-R-00057,2026-01-06T08:58:00Z,167.13.34.137,192.168.171.97,48467,53,TCP,SMB,srv-finanzas-01,port_scan,Port Scan,behavioral pattern,High,Reconnaissance,Reconnaissance,EDR,Behavior anomaly,Allowed,No,0.76,3,83,Critical,a_investigar,79,alta
ALT-R-00058,2026-02-16T14:37:00Z,52.17.164.90,192.168.216.20,37865,445,TCP,SMB,srv-logs-01,lateral_movement,Lateral Movement,behavioral pattern,Low,Lateral Movement,Installation,IDS,Suspicious pattern,Quarantined,Suspicious,0.47,3,76,Medium,a_investigar,43,media
ALT-R-00059,2026-01-23T05:00:00Z,172.16.170.104,10.143.84.28,8188,53,UDP,DNS,srv-vpn-01,dns_tunneling_suspected,DNS Tunneling,behavioral pattern,Medium,Command and Control,Command and Control,EDR,Confirmed malicious indicator,Quarantined,Yes,0.63,3,77,Critical,a_investigar,64,baja
ALT-R-00060,2026-02-12T13:13:00Z,172.23.49.149,172.23.59.97,28922,80,TCP,HTTPS,srv-backup-01,admin_login,No attack,behavioral pattern,Medium,No tactic,Execution,WAF,No alert,Allowed,No,0.49,0,21,High,benigno,57,alta
ALT-R-00061,2026-03-04T21:52:00Z,101.238.100.233,10.37.149.25,25512,4444,TCP,HTTPS,srv-app-02,malware_traffic,Malware,generic signature,Critical,Command and Control,Command and Control,WAF,Behavior anomaly,Allowed,Suspicious,0.74,3,78,High,a_investigar,99,critica
ALT-R-00062,2026-01-12T19:24:00Z,101.161.90.136,10.36.231.60,13617,389,TCP,DNS,srv-web-01,dns_tunneling_suspected,DNS Tunneling,generic signature,High,Command and Control,Command and Control,EDR,Suspicious pattern,Blocked,Suspicious,0.79,7,141,High,malicioso,84,baja
ALT-R-00063,2026-03-07T07:06:00Z,192.168.76.98,192.168.226.110,34311,53,TCP,SMB,srv-db-01,admin_login,No attack,behavioral pattern,Medium,No tactic,Execution,WAF,Policy-allowed activity,Allowed,No,0.19,4,7,Critical,benigno,39,media
ALT-R-00064,2025-11-07T19:24:00Z,23.188.67.30,172.18.229.164,16915,3389,TCP,HTTPS,srv-mail-01,unusual_remote_access,Unknown,generic signature,Critical,No tactic,Delivery,Firewall,Behavior anomaly,Allowed,Suspicious,0.40,2,88,High,a_investigar,52,alta
ALT-R-00065,2025-12-27T02:15:00Z,172.31.213.238,172.16.119.143,4714,443,TCP,HTTP,srv-app-02,web_attack,Cross Site Scripting,generic signature,Low,Execution,Exploitation,SIEM,Suspicious pattern,Allowed,No,0.24,1,31,High,benigno,17,baja
ALT-R-00066,2026-02-18T17:39:00Z,61.97.21.136,172.31.94.208,26114,22,TCP,HTTP,srv-backup-01,suspicious_access,Unknown,Unknown signature,Medium,No tactic,Delivery,IPS,Suspicious pattern,Allowed,No,0.30,1,34,High,benigno,60,alta
ALT-R-00067,2026-03-02T19:41:00Z,192.168.209.154,172.23.100.134,58453,445,TCP,SMB,pc-ventas-03,file_access,No attack,No attack signature,High,No tactic,Execution,EDR,Policy-allowed activity,Allowed,No,0.02,0,9,Medium,benigno,24,baja
ALT-R-00068,2025-11-04T23:24:00Z,10.52.26.39,192.168.137.44,41345,135,TCP,SSH,srv-archivos-02,intrusion_attempt,Brute Force,behavioral pattern,High,Credential Access,Credential Access,IPS,Suspicious pattern,Allowed,Suspicious,0.50,12,29,Medium,benigno,50,media
ALT-R-00069,2026-01-02T09:16:00Z,185.190.251.50,10.230.89.127,59615,53,TCP,SMB,srv-vpn-01,file_access,No attack,generic signature,Low,No tactic,Execution,SIEM,Behavior anomaly,Allowed,No,0.30,0,12,Critical,benigno,42,baja
ALT-R-00070,2026-02-24T05:17:00Z,10.166.117.47,172.26.117.182,60693,22,TCP,SSH,srv-erp-01,remote_admin,No attack,generic signature,Critical,No tactic,Execution,IDS,Policy-allowed activity,Allowed,Yes,0.31,6,49,Critical,a_investigar,66,alta
ALT-R-00071,2026-01-08T21:18:00Z,10.65.118.196,172.17.236.148,63306,8080,TCP,HTTP,srv-erp-01,malware_traffic,Malware,behavioral pattern,High,Command and Control,Command and Control,IDS,Behavior anomaly,Allowed,Suspicious,0.81,0,63,Critical,a_investigar,81,critica
ALT-R-00072,2026-01-01T18:58:00Z,192.168.154.244,192.168.3.35,51469,143,TCP,HTTP,pc-gerencia-01,web_attack,Cross Site Scripting,Cross Site Scripting signature,Low,Execution,Exploitation,IPS,Behavior anomaly,Blocked,No,0.49,1,45,High,a_investigar,46,baja
ALT-R-00073,2025-11-12T19:08:00Z,172.29.79.157,172.31.200.117,15266,22,TCP,SMB,srv-mail-01,mail_transfer,No attack,No attack signature,Medium,No tactic,Execution,Firewall,Behavior anomaly,Allowed,No,0.18,0,1,High,benigno,53,media
ALT-R-00074,2026-02-22T12:00:00Z,138.252.12.86,192.168.101.160,53730,53,TCP,DNS,srv-vpn-01,admin_login,No attack,behavioral pattern,Medium,No tactic,Execution,IPS,Policy-allowed activity,Allowed,Suspicious,0.25,4,16,Critical,benigno,49,media
ALT-R-00075,2025-11-30T05:32:00Z,77.212.185.91,192.168.75.129,6017,80,TCP,TCP,srv-backup-01,ddos_activity,DDoS,DDoS signature,Critical,Impact,Impact,WAF,Confirmed malicious indicator,Blocked,Yes,0.99,3,320,High,malicioso,98,critica
ALT-R-00076,2025-11-15T10:01:00Z,201.18.125.177,10.112.8.3,14591,3389,TCP,SSH,srv-db-01,dns_query,No attack,No attack signature,Medium,No tactic,Execution,WAF,Routine traffic,Allowed,No,0.19,6,12,Critical,benigno,44,critica
ALT-R-00077,2025-11-14T19:47:00Z,167.167.71.23,10.252.69.239,58690,80,TCP,HTTP,srv-logs-01,web_attack,SQL Injection,SQL Injection signature,High,Execution,Exploitation,Firewall,Confirmed malicious indicator,Quarantined,Suspicious,0.80,4,94,Medium,malicioso,76,critica
ALT-R-00078,2025-12-11T05:59:00Z,192.168.114.140,172.22.116.228,65079,80,TCP,SSH,srv-db-01,mail_transfer,No attack,generic signature,High,No tactic,Execution,SIEM,Routine traffic,Allowed,No,0.12,0,8,Critical,benigno,49,media
ALT-R-00079,2025-12-26T14:32:00Z,167.119.114.192,172.18.133.83,10366,143,TCP,HTTP,srv-rh-01,web_attack,Cross Site Scripting,behavioral pattern,Medium,Execution,Exploitation,WAF,Routine traffic,Allowed,No,0.31,0,24,High,benigno,46,media
ALT-R-00080,2026-02-22T02:51:00Z,212.141.35.194,172.25.27.20,52389,4444,TCP,HTTP,pc-soporte-05,malware_traffic,Malware,generic signature,High,Command and Control,Command and Control,IPS,No alert,Allowed,No,0.35,0,41,Low,benigno,57,alta
ALT-R-00081,2026-02-27T13:25:00Z,31.135.238.146,192.168.83.26,14069,25,UDP,DNS,srv-backup-01,data_exfiltration,Data Exfiltration,behavioral pattern,High,Exfiltration,Exfiltration,SIEM,Confirmed malicious indicator,Blocked,Yes,0.74,3,100,High,malicioso,84,alta
ALT-R-00082,2025-12-30T17:38:00Z,201.14.244.120,172.30.77.227,32949,445,TCP,SMB,srv-finanzas-01,mail_transfer,No attack,No attack signature,Critical,No tactic,Execution,SIEM,No alert,Allowed,Suspicious,0.15,1,21,Critical,benigno,51,alta
ALT-R-00083,2025-11-03T02:37:00Z,172.26.146.121,10.178.125.178,53089,8080,TCP,HTTP,srv-app-02,malware_traffic,Malware,behavioral pattern,High,Command and Control,Command and Control,IPS,Confirmed malicious indicator,Allowed,No,0.45,5,30,High,benigno,71,media
ALT-R-00084,2025-11-30T23:13:00Z,172.20.92.247,192.168.243.133,49846,80,TCP,HTTPS,srv-web-01,suspicious_access,Unknown,Unknown signature,Low,No tactic,Delivery,EDR,Policy-allowed activity,Allowed,No,0.49,1,20,High,benigno,50,media
ALT-R-00085,2026-02-13T07:59:00Z,10.150.36.216,10.64.227.203,24612,53,TCP,DNS,srv-mail-01,dns_tunneling_suspected,DNS Tunneling,generic signature,High,Command and Control,Command and Control,IDS,Suspicious pattern,Monitored,Suspicious,0.56,1,67,High,a_investigar,62,alta
ALT-R-00086,2026-01-26T23:32:00Z,10.83.26.245,172.31.177.136,53161,3389,TCP,HTTP,srv-web-01,mail_transfer,No attack,generic signature,Medium,No tactic,Execution,EDR,Policy-allowed activity,Allowed,No,0.16,0,1,High,benigno,34,media
ALT-R-00087,2025-11-05T22:59:00Z,212.187.211.31,172.27.101.221,60820,443,TCP,SMB,pc-gerencia-01,port_scan,Port Scan,generic signature,High,Reconnaissance,Reconnaissance,WAF,Policy-allowed activity,Quarantined,Suspicious,0.49,4,155,High,a_investigar,72,critica
ALT-R-00088,2025-11-26T14:10:00Z,176.165.28.1,192.168.141.245,22243,22,TCP,RDP,srv-vpn-01,intrusion_attempt,Brute Force,generic signature,High,Credential Access,Credential Access,Firewall,Suspicious pattern,Blocked,Yes,0.72,18,146,Critical,malicioso,92,alta
ALT-R-00089,2026-01-21T08:18:00Z,45.170.33.249,172.23.247.79,36485,443,UDP,DNS,pc-soporte-05,normal_web_access,No attack,generic signature,High,No tactic,Execution,IDS,Policy-allowed activity,Allowed,No,0.15,3,25,Low,benigno,30,media
ALT-R-00090,2025-11-27T05:51:00Z,172.24.19.179,10.88.193.235,41182,53,UDP,DNS,pc-gerencia-01,dns_tunneling_suspected,DNS Tunneling,generic signature,Medium,Command and Control,Command and Control,WAF,Behavior anomaly,Allowed,No,0.48,0,58,High,a_investigar,38,baja
ALT-R-00091,2026-01-25T04:38:00Z,52.83.24.96,10.67.236.181,2026,3389,TCP,HTTPS,srv-db-01,port_scan,Port Scan,Port Scan signature,Medium,Reconnaissance,Reconnaissance,EDR,Routine traffic,Allowed,No,0.47,0,49,Critical,benigno,69,alta
ALT-R-00092,2025-12-08T18:35:00Z,192.168.132.234,10.44.66.91,37217,8080,TCP,HTTPS,srv-erp-01,data_exfiltration,Data Exfiltration,behavioral pattern,Low,Exfiltration,Exfiltration,WAF,Confirmed malicious indicator,Allowed,Suspicious,0.54,7,84,Critical,a_investigar,60,alta
ALT-R-00093,2026-02-07T12:28:00Z,10.19.157.7,10.156.183.50,18594,443,TCP,HTTPS,srv-logs-01,web_attack,Cross Site Scripting,Cross Site Scripting signature,Medium,Execution,Exploitation,IPS,Behavior anomaly,Quarantined,Suspicious,0.48,0,61,Medium,a_investigar,41,media
ALT-R-00094,2026-02-21T04:47:00Z,185.215.163.138,172.18.115.187,32038,53,UDP,DNS,srv-db-01,dns_tunneling_suspected,DNS Tunneling,behavioral pattern,Medium,Command and Control,Command and Control,WAF,Behavior anomaly,Allowed,Suspicious,0.68,3,106,Critical,malicioso,61,alta
ALT-R-00095,2026-01-10T14:11:00Z,10.183.201.251,192.168.86.228,18127,3389,TCP,HTTPS,pc-soporte-05,suspicious_access,Unknown,generic signature,Low,No tactic,Delivery,IDS,Confirmed malicious indicator,Monitored,No,0.50,2,68,Low,a_investigar,45,alta
ALT-R-00096,2025-12-02T14:20:00Z,172.22.218.113,10.182.82.84,4405,443,TCP,HTTP,srv-rh-01,web_attack,Cross Site Scripting,behavioral pattern,High,Execution,Exploitation,IPS,Behavior anomaly,Monitored,Suspicious,0.74,2,123,High,malicioso,84,critica
ALT-R-00097,2025-12-15T19:01:00Z,23.209.41.129,10.68.189.112,31520,80,TCP,TCP,srv-rh-01,ddos_activity,DDoS,DDoS signature,High,Impact,Impact,Firewall,Behavior anomaly,Blocked,Yes,0.99,6,360,High,malicioso,100,critica
ALT-R-00098,2026-02-06T20:21:00Z,23.23.208.102,192.168.46.182,15808,995,TCP,RDP,srv-mail-01,suspicious_access,Unknown,generic signature,Medium,No tactic,Delivery,SIEM,No alert,Allowed,No,0.30,5,34,High,benigno,43,alta
